"Panel_Name","SYMBOL","TERM","Major_Functional_Class"
"SCF","KITLG","extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"SCF","KITLG","melanocyte migration","Immune cell positioning"
"SCF","KITLG","mast cell migration","Immune cell positioning"
"SCF","KITLG","positive regulation of hematopoietic stem cell proliferation","Immune cell amplification"
"TSLP","TSLP","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"TSLP","TSLP","positive regulation of cell population proliferation","Immune cell amplification"
"TSLP","TSLP","positive regulation of mast cell activation","Immune cell activation"
"TSLP","TSLP","negative regulation of apoptotic process","Tissue destruction"
"IL-21","IL21","positive regulation of cytokine production","Immune cell activation"
"IL-21","IL21","positive regulation of cell population proliferation","Immune cell amplification"
"IL-21","IL21","positive regulation of B cell proliferation","Immune cell amplification"
"IL-21","IL21","positive regulation of T cell proliferation","Immune cell amplification"
"IL-21","IL21","positive regulation of natural killer cell mediated cytotoxicity","Tissue destruction"
"IL-23","IL23A","positive regulation of T cell mediated cytotoxicity","Tissue destruction"
"IL-23","IL23A","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"IL-23","IL23A","negative regulation of interleukin-10 production","Resolution"
"IL-23","IL23A","positive regulation of natural killer cell activation","Immune cell activation"
"IL-23","IL23A","positive regulation of natural killer cell proliferation","Immune cell amplification"
"IL-23","IL23A","T cell proliferation","Immune cell amplification"
"IL-23","IL23A","positive regulation of T cell proliferation","Immune cell amplification"
"IL-23","IL23A","positive regulation of activated T cell proliferation","Immune cell amplification"
"IL-23","IL23A","positive regulation of osteoclast differentiation","Bone remodeling"
"IL-23","IL23A","positive regulation of NK T cell activation","Immune cell activation"
"IL-23","IL23A","positive regulation of NK T cell proliferation","Immune cell amplification"
"IL-23","IL23A","positive regulation of neutrophil chemotaxis","Immune cell positioning"
"TRAIL","TNFSF10","apoptotic process","Tissue destruction"
"TRAIL","TNFSF10","TRAIL-activated apoptotic signaling pathway","Tissue destruction"
"TRAIL","TNFSF10","positive regulation of apoptotic process","Tissue destruction"
"TRAIL","TNFSF10","positive regulation of extrinsic apoptotic signaling pathway","Tissue destruction"
"SDF-1a.b","CXCL12","neuron migration","Immune cell positioning"
"SDF-1a.b","CXCL12","positive regulation of endothelial cell proliferation","Immune cell amplification"
"SDF-1a.b","CXCL12","chemotaxis","Immune cell positioning"
"SDF-1a.b","CXCL12","T cell chemotaxis","Immune cell positioning"
"SDF-1a.b","CXCL12","telencephalon cell migration","Immune cell positioning"
"SDF-1a.b","CXCL12","positive regulation of cell migration","Immune cell positioning"
"SDF-1a.b","CXCL12","animal organ regeneration","Tissue construction / repair"
"SDF-1a.b","CXCL12","integrin activation","Immune cell activation"
"SDF-1a.b","CXCL12","induction of positive chemotaxis","Immune cell positioning"
"SDF-1a.b","CXCL12","cell chemotaxis","Immune cell positioning"
"SDF-1a.b","CXCL12","positive regulation of monocyte chemotaxis","Immune cell positioning"
"SDF-1a.b","CXCL12","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","Tissue destruction"
"SDF-1a.b","CXCL12","negative regulation of leukocyte tethering or rolling","Resolution"
"SDF-1a.b","CXCL12","positive regulation of T cell migration","Immune cell positioning"
"SDF-1a.b","CXCL12","negative regulation of dendritic cell apoptotic process","Tissue destruction"
"ENA-78","CXCL5","chemotaxis","Immune cell positioning"
"ENA-78","CXCL5","positive regulation of cell population proliferation","Immune cell amplification"
"ENA-78","CXCL5","neutrophil chemotaxis","Immune cell positioning"
"MIP-1d","CCL15","chemotaxis","Immune cell positioning"
"MIP-1d","CCL15","positive regulation of cell migration","Immune cell positioning"
"MIP-1d","CCL15","positive chemotaxis","Immune cell positioning"
"MIP-1d","CCL15","cell chemotaxis","Immune cell positioning"
"IL-28A","IFNL2","mucosal immune response","Immune cell activation"
"IL-28A","IFNL2","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"IL-28A","IFNL2","type III interferon-mediated signaling pathway","Immune cell activation"
"IL-28A","IFNL2","innate immune response","Immune cell activation"
"IL-28A","IFNL2","positive regulation of immune response","Immune cell activation"
"IL-28A","IFNL2","defense response to virus","Immune cell activation"
"IL-28A","IFNL2","cellular response to virus","Immune cell activation"
"EGF","EGF","positive regulation of endothelial cell proliferation","Immune cell amplification"
"EGF","EGF","positive regulation of cell population proliferation","Immune cell amplification"
"EGF","EGF","positive regulation of endothelial cell migration","Immune cell positioning"
"EGF","EGF","cerebellar granule cell precursor proliferation","Immune cell amplification"
"EGF","EGF","positive regulation of cerebellar granule cell precursor proliferation","Immune cell amplification"
"EGF","EGF","positive regulation of cell migration","Immune cell positioning"
"EGF","EGF","regulation of receptor signaling pathway via JAK-STAT","Immune cell activation"
"EGF","EGF","branching morphogenesis of an epithelial tube","Tissue construction / repair"
"EGF","EGF","epithelial cell proliferation","Immune cell amplification"
"EGF","EGF","negative regulation of secretion","Resolution"
"EGF","EGF","negative regulation of cholesterol efflux","Resolution"
"EGF","EGF","positive regulation of epithelial tube formation","Tissue construction / repair"
"Eotaxin","CCL11","positive regulation of endothelial cell proliferation","Immune cell amplification"
"Eotaxin","CCL11","mast cell chemotaxis","Immune cell positioning"
"Eotaxin","CCL11","chemotaxis","Immune cell positioning"
"Eotaxin","CCL11","positive regulation of cell migration","Immune cell positioning"
"Eotaxin","CCL11","eosinophil chemotaxis","Immune cell positioning"
"Eotaxin","CCL11","negative regulation of neurogenesis","Resolution"
"TGF-A","TGFA","positive regulation of cell population proliferation","Immune cell amplification"
"TGF-A","TGFA","positive regulation of epithelial cell proliferation","Immune cell amplification"
"TGF-A","TGFA","hepatocyte proliferation","Immune cell amplification"
"G-CSF","CSF3","positive regulation of cell population proliferation","Immune cell amplification"
"Flt-3L","FLT3LG","positive regulation of cell population proliferation","Immune cell amplification"
"GM-CSF","CSF2","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"GM-CSF","CSF2","cell population proliferation","Immune cell amplification"
"GM-CSF","CSF2","positive regulation of cell population proliferation","Immune cell amplification"
"GM-CSF","CSF2","positive regulation of cell migration","Immune cell positioning"
"GM-CSF","CSF2","epithelial fluid transport","Tissue construction / repair"
"GM-CSF","CSF2","negative regulation of DNA-templated transcription","Resolution"
"GM-CSF","CSF2","positive regulation of leukocyte proliferation","Immune cell amplification"
"GM-CSF","CSF2","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"Fractalkine","CX3CL1","microglial cell activation","Immune cell activation"
"Fractalkine","CX3CL1","positive regulation of neuroblast proliferation","Immune cell amplification"
"Fractalkine","CX3CL1","leukocyte migration involved in inflammatory response","Immune cell positioning"
"Fractalkine","CX3CL1","chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","positive regulation of cell population proliferation","Immune cell amplification"
"Fractalkine","CX3CL1","negative regulation of cell-substrate adhesion","Resolution"
"Fractalkine","CX3CL1","positive regulation of cell migration","Immune cell positioning"
"Fractalkine","CX3CL1","negative regulation of cell migration","Immune cell positioning"
"Fractalkine","CX3CL1","neutrophil chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","leukocyte chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","negative regulation of interleukin-1 alpha production","Resolution"
"Fractalkine","CX3CL1","negative regulation of interleukin-1 beta production","Resolution"
"Fractalkine","CX3CL1","negative regulation of interleukin-6 production","Resolution"
"Fractalkine","CX3CL1","negative regulation of tumor necrosis factor production","Resolution"
"Fractalkine","CX3CL1","integrin activation","Immune cell activation"
"Fractalkine","CX3CL1","negative regulation of apoptotic process","Tissue destruction"
"Fractalkine","CX3CL1","eosinophil chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","macrophage chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","lymphocyte chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","positive regulation of smooth muscle cell proliferation","Immune cell amplification"
"Fractalkine","CX3CL1","leukocyte adhesive activation","Immune cell activation"
"Fractalkine","CX3CL1","positive chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","angiogenesis involved in wound healing","Tissue construction / repair"
"Fractalkine","CX3CL1","cell chemotaxis","Immune cell positioning"
"Fractalkine","CX3CL1","microglial cell proliferation","Immune cell amplification"
"Fractalkine","CX3CL1","extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"Fractalkine","CX3CL1","negative regulation of hippocampal neuron apoptotic process","Tissue destruction"
"Fractalkine","CX3CL1","negative regulation of glutamate receptor signaling pathway","Resolution"
"Fractalkine","CX3CL1","negative regulation of microglial cell activation","Immune cell activation"
"Fractalkine","CX3CL1","positive regulation of microglial cell migration","Immune cell positioning"
"Fractalkine","CX3CL1","negative regulation of neuron migration","Immune cell positioning"
"Fractalkine","CX3CL1","negative regulation of apoptotic signaling pathway","Tissue destruction"
"Fractalkine","CX3CL1","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IFN-A","IFNA1","T cell activation involved in immune response","Immune cell activation"
"IFN-A","IFNA1","B cell activation involved in immune response","Immune cell activation"
"IFN-A","IFNA1","natural killer cell activation involved in immune response","Immune cell activation"
"IFN-y","IFNG","negative regulation of transcription by RNA polymerase II","Resolution"
"IFN-y","IFNG","microglial cell activation","Immune cell activation"
"IFN-y","IFNG","positive regulation of cytokine production","Immune cell activation"
"IFN-y","IFNG","macrophage activation involved in immune response","Immune cell activation"
"IFN-y","IFNG","apoptotic process","Tissue destruction"
"IFN-y","IFNG","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"IFN-y","IFNG","positive regulation of cell population proliferation","Immune cell amplification"
"IFN-y","IFNG","negative regulation of gene expression","Resolution"
"IFN-y","IFNG","positive regulation of epithelial cell migration","Immune cell positioning"
"IFN-y","IFNG","negative regulation of epithelial cell differentiation","Resolution"
"IFN-y","IFNG","negative regulation of interleukin-17 production","Resolution"
"IFN-y","IFNG","positive regulation of smooth muscle cell apoptotic process","Tissue destruction"
"IFN-y","IFNG","positive regulation of osteoclast differentiation","Bone remodeling"
"IFN-y","IFNG","negative regulation of DNA-templated transcription","Resolution"
"IFN-y","IFNG","astrocyte activation","Immune cell activation"
"IFN-y","IFNG","negative regulation of smooth muscle cell proliferation","Immune cell amplification"
"IFN-y","IFNG","positive regulation of membrane protein ectodomain proteolysis","Tissue destruction"
"IFN-y","IFNG","extrinsic apoptotic signaling pathway","Tissue destruction"
"IFN-y","IFNG","negative regulation of amyloid-beta clearance","Resolution"
"GRO","CXCL1","chemotaxis","Immune cell positioning"
"GRO","CXCL1","negative regulation of cell population proliferation","Immune cell amplification"
"IL-10","IL10","negative regulation of cytokine production","Immune cell activation"
"IL-10","IL10","positive regulation of cytokine production","Immune cell activation"
"IL-10","IL10","positive regulation of endothelial cell proliferation","Immune cell amplification"
"IL-10","IL10","negative regulation of cytokine production involved in immune response","Immune cell activation"
"IL-10","IL10","negative regulation of chronic inflammatory response to antigenic stimulus","Resolution"
"IL-10","IL10","positive regulation of B cell apoptotic process","Tissue destruction"
"IL-10","IL10","negative regulation of cell population proliferation","Immune cell amplification"
"IL-10","IL10","negative regulation of autophagy","Resolution"
"IL-10","IL10","leukocyte chemotaxis","Immune cell positioning"
"IL-10","IL10","negative regulation of myeloid dendritic cell activation","Immune cell activation"
"IL-10","IL10","negative regulation of B cell proliferation","Immune cell amplification"
"IL-10","IL10","negative regulation of interferon-alpha production","Resolution"
"IL-10","IL10","negative regulation of type II interferon production","Resolution"
"IL-10","IL10","negative regulation of interleukin-1 production","Resolution"
"IL-10","IL10","negative regulation of interleukin-12 production","Resolution"
"IL-10","IL10","negative regulation of interleukin-18 production","Resolution"
"IL-10","IL10","negative regulation of interleukin-6 production","Resolution"
"IL-10","IL10","negative regulation of interleukin-8 production","Resolution"
"IL-10","IL10","negative regulation of tumor necrosis factor production","Resolution"
"IL-10","IL10","negative regulation of heterotypic cell-cell adhesion","Resolution"
"IL-10","IL10","B cell proliferation","Immune cell amplification"
"IL-10","IL10","negative regulation of T cell proliferation","Immune cell amplification"
"IL-10","IL10","positive regulation of macrophage activation","Immune cell activation"
"IL-10","IL10","negative regulation of apoptotic process","Tissue destruction"
"IL-10","IL10","negative regulation of nitric oxide biosynthetic process","Resolution"
"IL-10","IL10","negative regulation of MHC class II biosynthetic process","Resolution"
"IL-10","IL10","negative regulation of mitotic cell cycle","Resolution"
"IL-10","IL10","positive regulation of receptor signaling pathway via JAK-STAT","Immune cell activation"
"IL-10","IL10","negative regulation of inflammatory response","Resolution"
"IL-10","IL10","negative regulation of membrane protein ectodomain proteolysis","Tissue destruction"
"IL-10","IL10","negative regulation of cytokine activity","Resolution"
"IL-10","IL10","negative regulation of chemokine (C-C motif) ligand 5 production","Resolution"
"IL-10","IL10","endothelial cell apoptotic process","Tissue destruction"
"IL-10","IL10","liver regeneration","Tissue construction / repair"
"IL-10","IL10","negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","Tissue destruction"
"IL-10","IL10","negative regulation of vascular associated smooth muscle cell proliferation","Immune cell amplification"
"IL-10","IL10","positive regulation of vascular associated smooth muscle cell proliferation","Immune cell amplification"
"MCP-3","CCL7","monocyte chemotaxis","Immune cell positioning"
"MCP-3","CCL7","chemotaxis","Immune cell positioning"
"MCP-3","CCL7","positive regulation of cell migration","Immune cell positioning"
"MCP-3","CCL7","eosinophil chemotaxis","Immune cell positioning"
"MCP-3","CCL7","positive regulation of natural killer cell chemotaxis","Immune cell positioning"
"IL-12p40","IL12B","regulation of cytokine production","Immune cell activation"
"IL-12p40","IL12B","positive regulation of T cell mediated cytotoxicity","Tissue destruction"
"IL-12p40","IL12B","natural killer cell activation involved in immune response","Immune cell activation"
"IL-12p40","IL12B","positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target","Tissue destruction"
"IL-12p40","IL12B","negative regulation of inflammatory response to antigenic stimulus","Resolution"
"IL-12p40","IL12B","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"IL-12p40","IL12B","cell migration","Immune cell positioning"
"IL-12p40","IL12B","natural killer cell activation","Immune cell activation"
"IL-12p40","IL12B","negative regulation of interleukin-10 production","Resolution"
"IL-12p40","IL12B","negative regulation of interleukin-17 production","Resolution"
"IL-12p40","IL12B","positive regulation of natural killer cell activation","Immune cell activation"
"IL-12p40","IL12B","positive regulation of natural killer cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","positive regulation of mononuclear cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","positive regulation of smooth muscle cell apoptotic process","Tissue destruction"
"IL-12p40","IL12B","T cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","positive regulation of T cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","positive regulation of activated T cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","positive regulation of osteoclast differentiation","Bone remodeling"
"IL-12p40","IL12B","negative regulation of smooth muscle cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","positive regulation of lymphocyte proliferation","Immune cell amplification"
"IL-12p40","IL12B","negative regulation of protein secretion","Resolution"
"IL-12p40","IL12B","positive regulation of NK T cell activation","Immune cell activation"
"IL-12p40","IL12B","positive regulation of NK T cell proliferation","Immune cell amplification"
"IL-12p40","IL12B","negative regulation of vascular endothelial growth factor signaling pathway","Resolution"
"IL-12p40","IL12B","negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","Immune cell amplification"
"MDC","CCL22","chemotaxis","Immune cell positioning"
"MDC","CCL22","positive regulation of cell migration","Immune cell positioning"
"MDC","CCL22","eosinophil chemotaxis","Immune cell positioning"
"IL-12p70","IL12A","positive regulation of T cell mediated cytotoxicity","Tissue destruction"
"IL-12p70","IL12A","positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target","Tissue destruction"
"IL-12p70","IL12A","cell migration","Immune cell positioning"
"IL-12p70","IL12A","negative regulation of interleukin-17 production","Resolution"
"IL-12p70","IL12A","positive regulation of natural killer cell activation","Immune cell activation"
"IL-12p70","IL12A","positive regulation of mononuclear cell proliferation","Immune cell amplification"
"IL-12p70","IL12A","positive regulation of smooth muscle cell apoptotic process","Tissue destruction"
"IL-12p70","IL12A","positive regulation of natural killer cell mediated cytotoxicity","Tissue destruction"
"IL-12p70","IL12A","negative regulation of smooth muscle cell proliferation","Immune cell amplification"
"IL-12p70","IL12A","positive regulation of lymphocyte proliferation","Immune cell amplification"
"IL-12p70","IL12A","negative regulation of protein secretion","Resolution"
"IL-12p70","IL12A","positive regulation of NK T cell activation","Immune cell activation"
"IL-12p70","IL12A","extrinsic apoptotic signaling pathway","Tissue destruction"
"IL-12p70","IL12A","negative regulation of vascular endothelial growth factor signaling pathway","Resolution"
"IL-12p70","IL12A","negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","Immune cell amplification"
"IL-12p70","IL12A","positive regulation of dendritic cell chemotaxis","Immune cell positioning"
"PDGF-AA","PDGFA","cell activation","Immune cell activation"
"PDGF-AA","PDGFA","positive regulation of mesenchymal cell proliferation","Immune cell amplification"
"PDGF-AA","PDGFA","cell population proliferation","Immune cell amplification"
"PDGF-AA","PDGFA","positive regulation of cell population proliferation","Immune cell amplification"
"PDGF-AA","PDGFA","negative regulation of phosphatidylinositol biosynthetic process","Resolution"
"PDGF-AA","PDGFA","negative regulation of platelet activation","Immune cell activation"
"PDGF-AA","PDGFA","regulation of smooth muscle cell migration","Immune cell positioning"
"PDGF-AA","PDGFA","positive regulation of cell migration","Immune cell positioning"
"PDGF-AA","PDGFA","positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway","Immune cell positioning"
"PDGF-AA","PDGFA","wound healing","Tissue construction / repair"
"PDGF-AA","PDGFA","positive regulation of fibroblast proliferation","Immune cell amplification"
"PDGF-AA","PDGFA","negative chemotaxis","Immune cell positioning"
"PDGF-AA","PDGFA","regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling","Tissue construction / repair"
"IL-13","IL13","microglial cell activation","Immune cell activation"
"IL-13","IL13","positive regulation of B cell proliferation","Immune cell amplification"
"IL-13","IL13","macrophage activation","Immune cell activation"
"IL-13","IL13","positive regulation of macrophage activation","Immune cell activation"
"IL-13","IL13","positive regulation of smooth muscle cell proliferation","Immune cell amplification"
"IL-13","IL13","negative regulation of inflammatory response","Resolution"
"IL-13","IL13","negative regulation of transforming growth factor beta production","Resolution"
"IL-13","IL13","negative regulation of lung ciliated cell differentiation","Resolution"
"IL-13","IL13","negative regulation of complement-dependent cytotoxicity","Tissue destruction"
"IL-13","IL13","positive regulation of pancreatic stellate cell proliferation","Immune cell amplification"
"IL-13","IL13","negative regulation of endothelial cell apoptotic process","Tissue destruction"
"IL-15","IL15","natural killer cell proliferation","Immune cell amplification"
"IL-15","IL15","positive regulation of cytokine production","Immune cell activation"
"IL-15","IL15","NK T cell proliferation","Immune cell amplification"
"IL-15","IL15","positive regulation of cell population proliferation","Immune cell amplification"
"IL-15","IL15","positive regulation of natural killer cell proliferation","Immune cell amplification"
"IL-15","IL15","positive regulation of T cell proliferation","Immune cell amplification"
"IL-15","IL15","neutrophil activation","Immune cell activation"
"IL-15","IL15","positive regulation of immune response","Immune cell activation"
"IL-15","IL15","negative regulation of cold-induced thermogenesis","Resolution"
"sCD40L","CD40LG","platelet activation","Immune cell activation"
"sCD40L","CD40LG","B cell proliferation","Immune cell amplification"
"sCD40L","CD40LG","positive regulation of T cell proliferation","Immune cell amplification"
"sCD40L","CD40LG","negative regulation of apoptotic process","Tissue destruction"
"sCD40L","CD40LG","positive regulation of endothelial cell apoptotic process","Tissue destruction"
"sCD40L","CD40LG","positive regulation of extrinsic apoptotic signaling pathway","Tissue destruction"
"IL-17A","IL17A","apoptotic process","Tissue destruction"
"IL-17A","IL17A","keratinocyte proliferation","Immune cell amplification"
"IL-17A","IL17A","positive regulation of osteoclast differentiation","Bone remodeling"
"IL-17A","IL17A","intestinal epithelial structure maintenance","Tissue construction / repair"
"IL-17A","IL17A","fibroblast activation","Immune cell activation"
"IL-17A","IL17A","granulocyte migration","Immune cell positioning"
"IL-17A","IL17A","negative regulation of inflammatory response to wounding","Resolution"
"IL-17A","IL17A","positive regulation of cytokine production involved in inflammatory response","Immune cell activation"
"IL-1RA","IL1RN","negative regulation of cytokine-mediated signaling pathway","Resolution"
"IL-1RA","IL1RN","negative regulation of heterotypic cell-cell adhesion","Resolution"
"IL-1RA","IL1RN","negative regulation of interleukin-1-mediated signaling pathway","Resolution"
"IL-1A","IL1A","cytokine production","Immune cell activation"
"IL-1A","IL1A","positive regulation of cytokine production","Immune cell activation"
"IL-1A","IL1A","connective tissue replacement involved in inflammatory response wound healing","Tissue construction / repair"
"IL-1A","IL1A","apoptotic process","Tissue destruction"
"IL-1A","IL1A","negative regulation of cell population proliferation","Immune cell amplification"
"IL-1A","IL1A","positive regulation of immature T cell proliferation in thymus","Immune cell amplification"
"IL-1A","IL1A","extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IL-1A","IL1A","positive regulation of neutrophil migration","Immune cell positioning"
"IL-1A","IL1A","negative regulation of establishment of Sertoli cell barrier","Resolution"
"IL-1A","IL1A","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IL-1B","IL1B","cytokine production","Immune cell activation"
"IL-1B","IL1B","apoptotic process","Tissue destruction"
"IL-1B","IL1B","positive regulation of cell population proliferation","Immune cell amplification"
"IL-1B","IL1B","negative regulation of cell population proliferation","Immune cell amplification"
"IL-1B","IL1B","positive regulation of epithelial to mesenchymal transition","Tissue construction / repair"
"IL-1B","IL1B","negative regulation of D-glucose transmembrane transport","Resolution"
"IL-1B","IL1B","positive regulation of cell migration","Immune cell positioning"
"IL-1B","IL1B","neutrophil chemotaxis","Immune cell positioning"
"IL-1B","IL1B","positive regulation of immature T cell proliferation in thymus","Immune cell amplification"
"IL-1B","IL1B","positive regulation of T cell proliferation","Immune cell amplification"
"IL-1B","IL1B","negative regulation of MAP kinase activity","Resolution"
"IL-1B","IL1B","negative regulation of lipid metabolic process","Resolution"
"IL-1B","IL1B","positive regulation of complement activation","Immune cell activation"
"IL-1B","IL1B","negative regulation of insulin receptor signaling pathway","Resolution"
"IL-1B","IL1B","astrocyte activation","Immune cell activation"
"IL-1B","IL1B","negative regulation of neurogenesis","Resolution"
"IL-1B","IL1B","negative regulation of synaptic transmission","Resolution"
